/Users/yahavcorcos/Desktop/gauntlet-workspace/wordbridge-app/venv/lib/python3.14/site-packages/openai/_compat.py:48: UserWarning: Core Pydantic V1 functionality isn't compatible with Python 3.14 or greater.
  from pydantic.v1.typing import (
<frozen runpy>:128: RuntimeWarning: 'app.jobs.worker' found in sys.modules after import of package 'app.jobs', but prior to execution of 'app.jobs.worker'; this may result in unpredictable behaviour
2025-11-12 00:41:54,856 - __main__ - INFO - Processing upload job 34...
2025-11-12 00:41:54,871 - __main__ - ERROR - Upload 34 not found. Checking database...
2025-11-12 00:41:54,871 - __main__ - ERROR - Upload 34 does not exist in database
2025-11-12 00:41:54,872 - __main__ - WARNING - Permanent failure processing upload 34: Upload 34 was not found.
2025-11-12 00:41:54,872 - __main__ - WARNING - Failed to process upload 34: Upload 34 was not found.
2025-11-12 00:45:29,921 - __main__ - INFO - Processing upload job 37...
2025-11-12 00:45:29,938 - __main__ - ERROR - Upload 37 not found. Checking database...
2025-11-12 00:45:29,939 - __main__ - ERROR - Upload 37 does not exist in database
2025-11-12 00:45:29,940 - __main__ - WARNING - Permanent failure processing upload 37: Upload 37 was not found.
2025-11-12 00:45:29,940 - __main__ - WARNING - Failed to process upload 37: Upload 37 was not found.
2025-11-12 00:50:45,703 - __main__ - INFO - Processing upload job 40...
2025-11-12 00:50:45,719 - __main__ - ERROR - Upload 40 not found. Checking database...
2025-11-12 00:50:45,720 - __main__ - ERROR - Upload 40 does not exist in database
2025-11-12 00:50:45,720 - __main__ - WARNING - Permanent failure processing upload 40: Upload 40 was not found.
2025-11-12 00:50:45,720 - __main__ - WARNING - Failed to process upload 40: Upload 40 was not found.
2025-11-12 00:52:40,927 - __main__ - INFO - Processing upload job 41...
2025-11-12 00:52:40,937 - __main__ - ERROR - Upload 41 not found. Checking database...
2025-11-12 00:52:40,937 - __main__ - ERROR - Upload 41 does not exist in database
2025-11-12 00:52:40,937 - __main__ - WARNING - Permanent failure processing upload 41: Upload 41 was not found.
2025-11-12 00:52:40,937 - __main__ - WARNING - Failed to process upload 41: Upload 41 was not found.
2025-11-12 00:53:49,836 - __main__ - INFO - Processing upload job 43...
2025-11-12 00:53:49,850 - __main__ - ERROR - Upload 43 not found. Checking database...
2025-11-12 00:53:49,850 - __main__ - ERROR - Upload 43 does not exist in database
2025-11-12 00:53:49,851 - __main__ - WARNING - Permanent failure processing upload 43: Upload 43 was not found.
2025-11-12 00:53:49,851 - __main__ - WARNING - Failed to process upload 43: Upload 43 was not found.
2025-11-12 00:56:16,885 - __main__ - INFO - Processing upload job 43...
2025-11-12 00:56:16,897 - __main__ - ERROR - Upload 43 not found. Checking database...
2025-11-12 00:56:16,898 - __main__ - ERROR - Upload 43 does not exist in database
2025-11-12 00:56:16,898 - __main__ - WARNING - Permanent failure processing upload 43: Upload 43 was not found.
2025-11-12 00:56:16,898 - __main__ - WARNING - Failed to process upload 43: Upload 43 was not found.
2025-11-12 00:57:04,958 - __main__ - INFO - Processing upload job 45...
2025-11-12 00:57:04,981 - __main__ - ERROR - Upload 45 not found. Checking database...
2025-11-12 00:57:04,982 - __main__ - ERROR - Upload 45 does not exist in database
2025-11-12 00:57:04,982 - __main__ - WARNING - Permanent failure processing upload 45: Upload 45 was not found.
2025-11-12 00:57:04,983 - __main__ - WARNING - Failed to process upload 45: Upload 45 was not found.
2025-11-12 00:57:14,129 - __main__ - INFO - Processing upload job 46...
2025-11-12 00:57:14,149 - __main__ - ERROR - Upload 46 not found. Checking database...
2025-11-12 00:57:14,149 - __main__ - ERROR - Upload 46 does not exist in database
2025-11-12 00:57:14,150 - __main__ - WARNING - Permanent failure processing upload 46: Upload 46 was not found.
2025-11-12 00:57:14,150 - __main__ - WARNING - Failed to process upload 46: Upload 46 was not found.
2025-11-12 00:58:32,468 - __main__ - INFO - Processing upload job 47...
2025-11-12 00:58:32,481 - __main__ - ERROR - Upload 47 not found. Checking database...
